dataset,id1,id2,title1,author1,year1,title2,author2,year2
mixed,mixed_1604,mixed_3587,When and Who Do Platform Companies Acquire? Understanding the Role of Acquisitions in the Growth of Platform Companies,"Miric, Milan and Pagani, Margherita and El Sawy, Omar A.",2021,WHEN AND WHO DO PLATFORM COMPANIES ACQUIRE? UNDERSTANDING THE ROLE OF ACQUISITIONS IN THE GROWTH OF PLATFORM COMPANIES 1,"Miric, Milan and Pagani, Margherita and Sawy, Omar A El",nan
mixed,mixed_4080,mixed_3007,BIG DATA & ANALYTICS IN NETWORKED BUSINESS TOWARD A DIGITAL ATTRIBUTION MODEL: MEASURING THE IMPACT OF DISPLAY ADVERTISING ON ONLINE CONSUMER BEHAVIOR 1,"Ghose, Anindya and Todri-Adamopoulos, Vilma and Baesens, Bart and Bapna, Ravi and Marsden, James R and Vanthienen, Jan and Zhao, J. Leon",nan,Toward a Digital Attribution Model - Measuring the Impact of Display Advertising on Online Consumer Behavior,"Ghose, Anindya and Todri-Adamopoulos, Vilma",2016
mixed,mixed_1854,mixed_5197,Competing with the Sharing Economy: Incumbents’ Reaction on Review Manipulation,"Nie, Cheng and Zheng, Zhiqiang (Eric) and Sarkar, Sumit",2022,COMPETING WITH THE SHARING ECONOMY: INCUMBENTS' REACTION ON REVIEW MANIPULATION 1,"Nie, Cheng and Zheng, Eric and Sarkar, Sumit",nan
mixed,mixed_4916,mixed_2208,On Information Systems Project Abandonment: An Exploratory Study of Organizational Practices,"Ewusi-Mensah, Kweku and Przasnyskl, Zbignlew H",nan,On Information Systems Project Abandonment - An Exploratory Study of Organizational Practices,"Ewusi-Mensah, Kweku and Przasnyski, Zbigniew H.",1991
mixed,mixed_956,mixed_2557,Review: IT-Dependent Strategic Initiatives and Sustained Competitive Advantage: A Review and Synthesis of the Literature,Piccoli and Ives,2005,Review - IT-Dependent Strategic Initiatives and Sustained Competitive Advantage - A Review and Synthesis of the Literature,"Piccoli, Gabriele and Ives, Blake",2005
mixed,mixed_1037,mixed_3866,Are Information Systems People Different: An Investigation of Motivational Differences,"Ferratt, Thomas W. and Short, Larry E.",1986,Motlva t/onal Differences Are Information Systems People Different: An Investigation of Motivational Differences,"Ferratt, Thomas W and Shod, Larry E",nan
mixed,mixed_3389,mixed_1719,It Depends On When You Search,"Li, Jun and Liu, Xianwei and Ye, Qiang and Zhao, Feng and Zhao, Xiaofei",2023,It Depends On When You Search,"Li, Jun and Liu, Xianwei and Ye, Qiang and Zhao, Feng and Zhao, Xiaofei",2023
mixed,mixed_1178,mixed_3798,How to Conduct a Functional Magnetic Resonance (fMRI) Study in Social Science Research,Dimoka,2012,HOW TO CONDUCT A FUNCTIONAL MAGNETIC RESONANCE (FMRI) STUDY IN SOCIAL SCIENCE RESEARCH 1,"Dimoka, Angelika",nan
mixed,mixed_3739,mixed_479,CONSTRUCT MEASUREMENT AND VALIDATION PROCEDURES IN MIS AND BEHAVIORAL RESEARCH: INTEGRATING NEW AND EXISTING TECHNIQUES 1,"Mackenzie, Scott B and Podsakoff, Philip M and Podsakoff, Nathan P",nan,Construct Measurement and Validation Procedures in MIS and Behavioral Research: Integrating New and Existing Techniques,MacKenzie and Podsakoff and Podsakoff,2011
mixed,mixed_427,mixed_2648,The Relationship between Organizational Culture and the Deployment of Systems Development Methodologies,Iivari and Huisman,2007,The Relationship Between Organizational Culture and the Deployment of Systems Development Methodologies,"Iivari, Juhani and Huisman, Magda",2007
mixed,mixed_2305,mixed_725,The Use of Information Technology to Enhance Management School Education - A Theoretical View,"Leidner, Dorothy E. and Jarvenpaa, Sirkka L.",1995,The Use of Information Technology to Enhance Management School Education: A Theoretical View,"Leidner, Dorothy E. and Jarvenpaa, Sirkka L.",1995
mixed,mixed_1792,mixed_5356,Effects of Explicit Sponsorship Disclosure on User Engagement in Social Media Influencer Marketing,"Cao, Zike and Belo, Rodrigo",2024,EFFECTS OF EXPLICIT SPONSORSHIP DISCLOSURE ON USER ENGAGEMENT IN SOCIAL MEDIA INFLUENCER MARKETING 1,"Cao, Zike and Belo, Rodrigo",nan
mixed,mixed_707,mixed_3027,How Information Technology Strategy and Investments Influence Firm Performance: Conjecture and Empirical Evidence,"Mithas, Sunil and Rust, Roland T.",2016,How Information Technology Strategy and Investments Influence Firm Performance - Conjecture and Empirical Evidence,"Mithas, Sunil and Rust, Roland T.",2016
mixed,mixed_2598,mixed_3570,Review - A Review of Culture in Information Systems Research - Toward a Theory of Information Technology Culture Conflict,"Leidner, Dorothy E. and Kayworth, Timothy R.",2006,REVIEW: A REVIEW OF CULTURE IN INFORMATION SYSTEMS RESEARCH: TOWARD A THEORY OF INFORMATION TECHNOLOGY CULTURE CONFLICT 1,"Leidner, Dorothy E and Kayworth, Timothy",nan
mixed,mixed_4422,mixed_2452,EXAMINING THE SHAREHOLDER WEALTH EFFECTS OF ANNOUNCEMENTS OF NEWLY CREATED CIO POSITIONS 1,"Richardson, Vernon J and Zmud, Robert W and Price, Michael F",nan,Examining the Shareholder Wealth Effects of Announcements of Newly Created CIO Positions,"Chatterjee, Debabroto and Richardson, Vernon J. and Zmud, Robert W.",2001
mixed,mixed_3873,mixed_1175,SPURRING IMPACTFUL RESEARCH ON INFORMATION SYSTEMS FOR ENVIRONMENTAL SUSTAINABILITY,"Malhotra, Arvind and Melville, Nigel P and Ross, Stephen M and Watson, Richard T",nan,Spurring Impactful Research on Information Systems and Environmental Sustainability,"Malhotra, Arvind and Melville, Nigel P. and Watson, Richard T.",2013
mixed,mixed_1239,mixed_3106,Text Analytics to Support Sense-Making in Social Media: A Language-Action Perspective,"Abbas, Ahmed and Zhou, Yilu and Deng, Shasha and Zhang, Pengzhu",2018,Text Analytics to Support Sense-Making in Social Media - A Language-Action Perspective,"Abbasi, Ahmed and Zhou, Yili and Deng, Shasha and Zhang, Pengzhu",2018
mixed,mixed_4023,mixed_1203,SMIS Members: A Membership Analysis,"Ball, Leslie and Harris, Richard",nan,SMIS Members: A Membership Analysis,"Ball, Leslie and Harris, Richard",1982
mixed,mixed_1252,mixed_2549,Contributing Knowledge to Electronic Knowledge Repositories: An Empirical Investigation,Kankanhalli and Tan and Wei,2005,Contributing Knowledge to Electronic Knowledge Repositories - An Empirical Investigation,"Kankanhalli, Atreyi and Tan, Bernard C. Y. and Wei, Kwok Kee",2005
mixed,mixed_1239,mixed_3572,Text Analytics to Support Sense-Making in Social Media: A Language-Action Perspective,"Abbas, Ahmed and Zhou, Yilu and Deng, Shasha and Zhang, Pengzhu",2018,TEXT ANALYTICS TO SUPPORT SENSE-MAKING IN SOCIAL MEDIA: A LANGUAGE-ACTION PERSPECTIVE 1,"Abbasi, Ahmed and Zhou, Yilu and Deng, Shasha and Zhang, Pengzhu",nan
mixed,mixed_3783,mixed_922,The French Videotex System Minitel: A Successful Implementation of a National Information Technology Infrastructure 1,"Cats-Baril, William L",nan,The French Videotex System Minitel: A Successful Implementation of a National Information Technology Infrastructure,"Cats-Baril, William L. and Jelassi, Tawfik",1994
mixed,mixed_4001,mixed_2189,"KBS Circles: A Technology Transfer Initiative That Leverages Xerox's ""Leadership Through Quality Program""","Maletz, Mark C",nan,SIM Paper Competition - KBS Circles - A Technology Transfer Initiative that Leverages Xerox's Leadership Through Quality Program,"Maletz, Mark C.",1990
mixed,mixed_4807,mixed_1094,CHRONIC DISEASE MANAGEMENT: HOW IT AND ANALYTICS CREATE HEALTHCARE VALUE THROUGH THE TEMPORAL DISPLACEMENT OF CARE 1,"Thompson, Steve and Whitaker, Jonathan and Kohli, Rajiv and Jones, Craig and Bardhan, Indranil and Chen, Hsinchun and Karahanna, Elena",nan,Chronic Disease Management: How IT and Analytics Create Healthcare Value Through the Temporal Displacement of Care,"Thompson, Steve and Whitaker, Jonathan and Kohli, Rajiv and Jones, Craig",2020
mixed,mixed_1464,mixed_2362,Searching and Scanning: How Executives Obtain Information from Executive Information Systems,"Vandenbosch, Betty and Huff, Sid L.",1997,Searching and Scanning - How Executives Obtain Information From Executive Information Systems,"Vandenbosch, Betty and Huff, Sid L.",1997
mixed,mixed_628,mixed_2228,Toward a Better Understanding of Information Technology Organization: A Comparative Case Study,"Blanton, J. Ellis and Watson, Hugh J. and Moody, Janette",1992,Toward a Better Understanding of Information Technology Organization - A Comparative Case Study,"Blanton, J. Ellis and Watson, Hugh J. and Moody, Janette",1992
mixed,mixed_2761,mixed_70,Managing Consumer Privacy Concerns in Personalization - A Strategic Analysis of Privacy Protection,"Lee, Dong-Joo and Ahn, Jae-Hyeon and Bang, Youngsok",2011,Managing Consumer Privacy Concerns in Personalization: A Strategic Analysis of Privacy Protection,Lee and Ahn and Bang,2011
mixed,mixed_3887,mixed_3095,EXTERNAL KNOWLEDGE AND INFORMATION TECHNOLOGY: IMPLICATIONS FOR PROCESS INNOVATION PERFORMANCE 1,"Trantopoulos, Konstantinos and Von Krogh, Georg and Wallin, Martin W and Woerter, Martin",nan,External Knowledge and Information Technology - Implications for Process Innovation Performance,"Trantopoulos, Konstantinos and von Krogh, Georg and Wallin, Martin W. and Woerter, Martin",2017
